,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Charles Barkley,29,PHO,59.0,835.0,980,0.852,76,37.6,25.6,12.2,5.1,1.6,1.0,0.52,0.305,0.765,14.4,0.242
1,2,Hakeem Olajuwon,30,HOU,22.0,647.0,980,0.66,82,39.5,26.1,13.0,3.5,1.8,4.2,0.529,0.0,0.779,15.8,0.23399999999999999
2,3,Michael Jordan,29,CHI,13.0,565.0,980,0.5770000000000001,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.35200000000000004,0.8370000000000001,17.2,0.27
3,4,Patrick Ewing,30,NYK,4.0,359.0,980,0.366,81,37.1,24.2,12.1,1.9,0.9,2.0,0.503,0.14300000000000002,0.7190000000000001,10.6,0.17
4,5,Dominique Wilkins,33,ATL,0.0,54.0,980,0.055,71,37.3,29.9,6.8,3.2,1.0,0.4,0.46799999999999997,0.38,0.828,10.5,0.191
5,6,David Robinson,27,SAS,0.0,33.0,980,0.034,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.17600000000000002,0.732,13.2,0.19699999999999998
6,7,Shaquille O'Neal,20,ORL,0.0,30.0,980,0.031,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0.0,0.5920000000000001,10.4,0.163
7,8T,Karl Malone,29,UTA,0.0,10.0,980,0.01,82,37.8,27.0,11.2,3.8,1.5,1.0,0.552,0.2,0.74,15.4,0.23800000000000002
8,8T,Mark Price,28,CLE,0.0,10.0,980,0.01,75,31.7,18.2,2.7,8.0,1.2,0.1,0.484,0.41600000000000004,0.948,9.8,0.19699999999999998
9,10T,Brad Daugherty,27,CLE,0.0,1.0,980,0.001,71,37.9,20.2,10.2,4.4,0.7,0.8,0.5710000000000001,0.5,0.795,12.7,0.226
10,10T,Clyde Drexler,30,POR,0.0,1.0,980,0.001,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.8390000000000001,6.0,0.171
11,10T,Joe Dumars,29,DET,0.0,1.0,980,0.001,77,40.2,23.5,1.9,4.0,1.0,0.1,0.466,0.375,0.8640000000000001,9.1,0.141
12,10T,Shawn Kemp,23,SEA,0.0,1.0,980,0.001,78,33.1,17.8,10.7,2.0,1.5,1.9,0.49200000000000005,0.0,0.7120000000000001,9.1,0.16899999999999998
13,10T,John Stockton,30,UTA,0.0,1.0,980,0.001,82,34.9,15.1,2.9,12.0,2.4,0.3,0.486,0.385,0.7979999999999999,10.6,0.177
