,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Steve Nash,31,PHO,57.0,924.0,1250,0.7390000000000001,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.9209999999999999,12.4,0.212
1,2,LeBron James,21,CLE,16.0,688.0,1250,0.55,79,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.23199999999999998
2,3,Dirk Nowitzki,27,DAL,14.0,544.0,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.9009999999999999,17.7,0.275
3,4,Kobe Bryant,27,LAL,22.0,483.0,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.34700000000000003,0.85,15.3,0.22399999999999998
4,5,Chauncey Billups,29,DET,15.0,430.0,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254
5,6,Dwyane Wade,24,MIA,0.0,87.0,1250,0.07,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.7829999999999999,14.4,0.239
6,7,Elton Brand,26,LAC,1.0,50.0,1250,0.04,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.33299999999999996,0.775,14.8,0.22899999999999998
7,8,Tim Duncan,29,SAS,0.0,33.0,1250,0.026000000000000002,80,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8,0.187
8,9,Tony Parker,23,SAS,0.0,9.0,1250,0.006999999999999999,80,33.9,18.9,3.3,5.8,1.0,0.1,0.5479999999999999,0.306,0.7070000000000001,9.6,0.16899999999999998
9,10T,Allen Iverson,30,PHI,0.0,1.0,1250,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.32299999999999995,0.8140000000000001,10.6,0.165
10,10T,Shawn Marion,27,PHO,0.0,1.0,1250,0.001,81,40.3,21.8,11.8,1.8,2.0,1.7,0.525,0.331,0.809,14.6,0.214
