,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Stephen Curry,27,GSW,131.0,1310.0,1310,1.0,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.45399999999999996,0.9079999999999999,17.9,0.318
1,2,Kawhi Leonard,24,SAS,0.0,634.0,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.44299999999999995,0.8740000000000001,13.7,0.27699999999999997
2,3,LeBron James,31,CLE,0.0,631.0,1310,0.48200000000000004,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
3,4,Russell Westbrook,27,OKC,0.0,486.0,1310,0.371,80,34.4,23.5,7.8,10.4,2.0,0.3,0.45399999999999996,0.29600000000000004,0.812,14.0,0.245
4,5,Kevin Durant,27,OKC,0.0,147.0,1310,0.11199999999999999,72,35.8,28.2,8.2,5.0,1.0,1.2,0.505,0.387,0.898,14.5,0.27
5,6,Chris Paul,30,LAC,0.0,107.0,1310,0.08199999999999999,74,32.7,19.5,4.2,10.0,2.1,0.2,0.462,0.371,0.8959999999999999,12.7,0.253
6,7,Draymond Green,25,GSW,0.0,50.0,1310,0.038,81,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.38799999999999996,0.696,11.1,0.19
7,8,Damian Lillard,25,POR,0.0,26.0,1310,0.02,75,35.7,25.1,4.0,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
8,9,James Harden,26,HOU,0.0,9.0,1310,0.006999999999999999,82,38.1,29.0,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
9,10,Kyle Lowry,29,TOR,0.0,6.0,1310,0.005,77,37.0,21.2,4.7,6.4,2.1,0.4,0.42700000000000005,0.38799999999999996,0.8109999999999999,11.6,0.196
