,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Giannis Antetokounmpo,25,MIL,85.0,962.0,1010,0.9520000000000001,63,30.4,29.5,13.6,5.6,1.0,1.0,0.5529999999999999,0.304,0.633,11.1,0.27899999999999997
1,2,LeBron James,35,LAL,16.0,753.0,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204
2,3,James Harden,30,HOU,0.0,367.0,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254
3,4,Luka Dončić,20,DAL,0.0,200.0,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,0.46299999999999997,0.316,0.758,8.8,0.207
4,5,Kawhi Leonard,28,LAC,0.0,168.0,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.37799999999999995,0.8859999999999999,8.7,0.226
5,6,Anthony Davis,26,LAL,0.0,82.0,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25
6,7,Chris Paul,34,OKC,0.0,26.0,1010,0.026000000000000002,70,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193
7,8,Damian Lillard,29,POR,0.0,23.0,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,0.46299999999999997,0.401,0.888,11.6,0.225
8,9,Nikola Jokić,24,DEN,0.0,18.0,1010,0.018000000000000002,73,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.8170000000000001,9.8,0.20199999999999999
9,10,Pascal Siakam,25,TOR,0.0,17.0,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,0.45299999999999996,0.359,0.792,5.4,0.12300000000000001
10,11,Jimmy Butler,30,MIA,0.0,9.0,1010,0.009000000000000001,58,33.8,19.9,6.7,6.0,1.8,0.6,0.455,0.244,0.8340000000000001,9.0,0.221
11,12,Jayson Tatum,21,BOS,0.0,1.0,1010,0.001,66,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.40299999999999997,0.812,6.9,0.146
