Last tracked,Type,Reg Year,Emission Class,Livery,Branding,Name,Previous reg,Special features,,,,,
6132,LJ03 MHV,2003,EURO III,7,9:40,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6135,LJ03 MJK,2003,EURO III,6X,7:20,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6129,LJ51 DHC,2001,EURO III,7,7/22/22 20:25,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6124,LJ51 DHG,2001,EURO III,277,7/22/22 18:16,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6125,LJ51 DHK,2001,EURO III,771,7/22/22 15:50,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6126,LJ51 DHL,2001,EURO III,7,8/2/22 16:09,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6127,LJ51 DHN,2001,EURO III,6,10:00,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,,,Flickr,Edit,
6152,UUI 2909,2001,EURO III,7,9:10,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,LJ51 DGV,,Flickr,Edit,
6154,UUI 2949,2001,EURO III,12,7/10/22 17:28,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,LJ51 DFZ,,Flickr,Edit,
6139,FJ06 ZPW,2006,EURO IV,89,8/2/22 7:30,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7932,power sockets,Flickr,Edit,
6138,FJ06 ZPX,2006,EURO IV,89,8:44,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7931,power sockets,Flickr,Edit,
6143,FJ56 OBC,2006,EURO IV,71,7:45,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7936,power sockets,Flickr,Edit,
6141,FJ56 OBD,2006,EURO IV,12,8/1/22 8:55,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7934,power sockets,Flickr,Edit,
6144,FJ56 OBE,2006,EURO IV,71,9:09,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,TUI 7937,power sockets,Flickr,Edit,
1633,GN06 EEB,2006,EURO IV,349,9:59,Dennis Dart Plaxton Pointer,Arriva Interurban,,,,Flickr,Edit,
1634,GN06 EEF,2006,EURO IV,X2,7/29/22 8:20,Dennis Dart Plaxton Pointer,Arriva Interurban,,,,Flickr,Edit,
1635,GN06 EEG,2006,EURO IV,347,9:45,Dennis Dart Plaxton Pointer,Arriva Interurban,,,,Flickr,Edit,
1636,GN06 EEH,2006,EURO IV,347,9:45,Dennis Dart Plaxton Pointer,Arriva Interurban,,,,Flickr,Edit,
3984,GN07 DLJ,2007,EURO IV,176,9:28,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
3987,GN07 DLU,2007,EURO IV,132,8/2/22 12:42,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
3988,GN07 DLV,2007,EURO IV,176,9:48,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
3994,GN07 DMO,2007,EURO IV,85,8/2/22 10:27,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
3995,GN07 DMU,2007,EURO IV,12,7/12/22 19:55,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
3996,GN07 DMV,2007,EURO IV,85,9:39,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
1637,GN57 BNX,2007,EURO IV,164,10:02,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
1638,GN57 BNY,2007,EURO IV,100,6/17/22 18:51,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
1639,GN57 BNZ,2007,EURO IV,145,9:23,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
1640,GN57 BOF,2007,EURO IV,133,9:30,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
1641,GN57 BOH,2007,EURO IV,190,9:11,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
1642,GN57 BOJ,2007,EURO IV,145,9:53,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4007,LX56 DZW,2006,EURO IV,145,9:43,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4006,LX56 DZY,2006,EURO IV,191,9:42,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4005,LX56 DZZ,2006,EURO IV,190,8/2/22 8:37,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
6146,TUI 7939,2006,EURO IV,8,9:52,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,FJ56 OBG,power sockets,Flickr,Edit,
6147,TUI 7940,2006,EURO IV,9,9:53,Volvo B7TL Wright Eclipse Gemini,Arriva Sapphire old,,FJ56 OBH,power sockets,Flickr,Edit,
6150,UUI 2905,2006,EURO IV,7,9:36,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBM,,Flickr,Edit,
6151,UUI 2906,2006,EURO IV,7,7:48,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBN,,Flickr,Edit,
6149,UUI 2907,2006,EURO IV,12,9:45,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBL,,Flickr,Edit,
6148,UUI 2908,2006,EURO IV,7,7:54,Volvo B7TL Wright Eclipse Gemini,Arriva Interurban,,FJ56 OBK,,Flickr,Edit,
6237,YJ57 BKD,2007,EURO IV,219,8:12,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,,,,Flickr,Edit,
6238,YJ57 BKE,2007,EURO IV,6,7/30/22 17:30,VDL/DAF DB250 East Lancs Myllennium Lowlander,Arriva Interurban,,,,Flickr,Edit,
1523,YK07 BCZ,2007,EURO IV,218,9:34,Optare Solo,Arriva Journey Mark,,,,Flickr,Edit,
3906,BD12 DHO,2012,EURO V,402,9:26,Mercedes-Benz Citaro O530,Arriva Journey Mark,Andy Ramsden,,,Flickr,Edit,
3908,BD12 DHU,2012,EURO V,RRTW,6:42,Mercedes-Benz Citaro O530,Arriva pride,,,,Flickr,Edit,
6200,FJ08 LVL,2008,EURO V,774,7/22/22 17:10,Volvo B9TL Wright Eclipse Gemini,Arriva Journey Mark,,,USB power,Flickr,Edit,
6201,FJ08 LVR,2008,EURO V,,,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire old,,,power sockets,Flickr,Edit,
6203,FJ08 LVT,2008,EURO V,6,8:57,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire old,Ken D'Souza,,"power sockets, USB power",Flickr,Edit,
6205,FJ58 KXG,2008,EURO V,7,5/7/22 11:40,Volvo B9TL Wright Eclipse Gemini,Arriva Sapphire old,,,power sockets,Flickr,Edit,
4046,GN09 AWX,2009,EURO V,182,9:13,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4048,GN09 AWZ,2009,EURO V,85,9:15,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4050,GN09 AXB,2009,EURO V,334,9:20,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4051,GN09 AXC,2009,EURO V,182,9:59,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4054,GN09 AXG,2009,EURO V,191,9:02,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4055,GN09 AXH,2009,EURO V,72,9:30,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4056,GN09 AXJ,2009,EURO V,3,10:02,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4057,GN09 AXK,2009,EURO V,X2,8:20,ADL Enviro200,Arriva Cotswold Stone,,,,Flickr,Edit,
4058,GN09 AXM,2009,EURO V,182,9:38,ADL Enviro200,Arriva Cotswold Stone,,,,Flickr,Edit,
4059,GN09 AXO,2009,EURO V,140,9:27,ADL Enviro200,Arriva Cotswold Stone,,,,Flickr,Edit,
4013,GN58 BTV,2008,EURO V,575,7/1/22 7:04,ADL Enviro200,Arriva Journey Mark,,,,Flickr,Edit,
4014,GN58 BTX,2008,EURO V,7,7/10/22 12:16,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4060,GN59 FVB,2009,EURO V,182,9:48,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4061,GN59 FVC,2009,EURO V,132,8:38,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4062,GN59 FVD,2009,EURO V,82,10:00,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4063,GN59 FVE,2009,EURO V,334,9:20,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4064,GN59 FVF,2009,EURO V,3,9:42,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4065,GN59 FVG,2009,EURO V,72,9:32,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4066,GN59 FVH,2009,EURO V,89,9:49,ADL Enviro200,Arriva Interurban,,,,Flickr,Edit,
4224,GN62 HMY,2012,EURO V,177,9:16,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4219,KX12 GZD,2012,EURO V,116,8/2/22 8:09,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4220,KX12 GZE,2012,EURO V,190,8/2/22 8:12,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4221,KX12 GZF,2012,EURO V,132,9:30,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4222,KX12 GZG,2012,EURO V,177,9:39,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4223,KX12 GZH,2012,EURO V,1,9:46,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
1653,KX61 LCW,2011,EURO V,176,8:47,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
1650,KX61 LFO,2011,EURO V,166,9:40,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
1652,KX61 LFP,2011,EURO V,166,9:50,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
1651,KX61 LFR,2011,EURO V,177,9:54,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
4218,KX61 LFS,2011,EURO V,402,9:56,Optare Versa,Arriva Journey Mark,,,,Flickr,Edit,
1654,KX61 LHW,2011,EURO V,164,9:42,Wright StreetLite DF,Arriva Journey Mark,,,,Flickr,Edit,
