Last tracked,Type,Reg Year,Emission Class,Livery,Branding,Name,Previous reg,Special features,,,,,
4120,SN67 WUJ,2017,EURO VI,71,9:30,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
4121,SN67 WUK,2017,EURO VI,9,9:45,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
4126,SN67 WUR,2017,EURO VI,334,9:49,ADL Enviro200 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
6520,YX17 NEN,2017,EURO VI,334,9:50,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
6521,YX17 NEO,2017,EURO VI,71,9:10,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
6522,YX17 NEU,2017,EURO VI,12,9:07,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
6528,YX17 NFF,2017,EURO VI,191,8/2/22 16:28,ADL Enviro400 MMC,Arriva Sapphire,320,,,USB power,Flickr,Edit
6473,YY14 WFV,2014,EURO VI,101,22:40,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets",Flickr,Edit,
6474,YY14 WFW,2014,EURO VI,101,23:12,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power",Flickr,Edit,
6475,YY14 WFX,2014,EURO VI,700,7/27/22 12:27,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets",Flickr,Edit,
6476,YY14 WFZ,2014,EURO VI,101,9:15,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power",Flickr,Edit,
6477,YY14 WGA,2014,EURO VI,101,9:24,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power",Flickr,Edit,
6478,YY14 WGC,2014,EURO VI,101,10:00,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power",Flickr,Edit,
6493,YY16 YLD,2016,EURO VI,7,8/2/22 16:44,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power,Flickr,Edit,
