,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,1,Dirk Nowitzki,28,DAL,83.0,1138.0,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.41600000000000004,0.904,16.3,0.278
1,2,Steve Nash,32,PHO,44.0,1013.0,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225
2,3,Kobe Bryant,28,LAL,2.0,521.0,1290,0.40399999999999997,77,40.8,31.6,5.7,5.4,1.4,0.5,0.46299999999999997,0.344,0.868,13.0,0.19899999999999998
3,4,Tim Duncan,30,SAS,0.0,286.0,1290,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23
4,5,LeBron James,22,CLE,0.0,183.0,1290,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,0.47600000000000003,0.319,0.698,13.7,0.20600000000000002
5,6,Tracy McGrady,27,HOU,0.0,110.0,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.7070000000000001,8.6,0.163
6,7,Chris Bosh,22,TOR,0.0,43.0,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.34299999999999997,0.785,9.6,0.174
7,8,Gilbert Arenas,25,WAS,0.0,31.0,1290,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.35100000000000003,0.8440000000000001,10.8,0.177
8,9T,Carlos Boozer,25,UTA,0.0,7.0,1290,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,0.561,,0.685,9.9,0.185
9,9T,Kevin Garnett,30,MIN,0.0,7.0,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.47600000000000003,0.214,0.835,10.7,0.171
10,11,Chauncey Billups,30,DET,0.0,4.0,1290,0.003,70,36.2,17.0,3.4,7.2,1.2,0.2,0.42700000000000005,0.345,0.883,11.4,0.21600000000000003
11,12T,Shaquille O'Neal,34,MIA,0.0,3.0,1290,0.002,40,28.4,17.3,7.4,2.0,0.2,1.4,0.591,,0.42200000000000004,2.8,0.11900000000000001
12,12T,Dwyane Wade,25,MIA,0.0,3.0,1290,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.21899999999999997
13,14,Amar'e Stoudemire,24,PHO,0.0,2.0,1290,0.002,82,32.8,20.4,9.6,1.0,1.0,1.3,0.575,0.0,0.7809999999999999,11.2,0.201
14,15T,Carmelo Anthony,22,DEN,0.0,1.0,1290,0.001,65,38.2,28.9,6.0,3.8,1.2,0.4,0.47600000000000003,0.268,0.8079999999999999,7.3,0.14
15,15T,Baron Davis,27,GSW,0.0,1.0,1290,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139
16,15T,Tony Parker,24,SAS,0.0,1.0,1290,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.7829999999999999,9.6,0.185
