Last tracked,,Type,Reg Year,Emission Class,Livery,Name,Previous reg,Special features
4296,GN15 CWR,9,15,EURO VI,16:30,Wright StreetLite DF,Arriva Journey Mark,
4297,GN15 CWT,89,15,EURO VI,13:04,Wright StreetLite DF,Arriva Journey Mark,
4298,GN15 CWU,175,15,EURO VI,20 Jan 18:33,Wright StreetLite DF,Arriva Journey Mark,
4299,GN15 CWV,693,15,EURO VI,20 Jan 15:28,Wright StreetLite DF,Arriva Journey Mark,
4300,GN15 CWW,116,15,EURO VI,21 Jan 13:48,Wright StreetLite DF,Arriva Journey Mark,
4308,GN15 CXE,176,15,EURO VI,15:43,Wright StreetLite DF,Arriva Journey Mark,
4309,GN15 CXF,177,15,EURO VI,15:15,Wright StreetLite DF,Arriva Journey Mark,
4310,GN15 CXG,190,15,EURO VI,21 Jan 16:02,Wright StreetLite DF,Arriva Journey Mark,
4311,GN15 CXH,191,15,EURO VI,20 Jan 17:45,Wright StreetLite DF,Arriva Journey Mark,
4312,GN15 CXJ,1,15,EURO VI,20 Jan 9:30,Wright StreetLite DF,Arriva Journey Mark,
4313,GN15 CXK,176,15,EURO VI,15:44,Wright StreetLite DF,Arriva Journey Mark,
4314,GN15 CXL,140,15,EURO VI,8:46,Wright StreetLite DF,Arriva Journey Mark,
4315,GN15 CXM,132,15,EURO VI,21 Jan 19:10,Wright StreetLite DF,Arriva Journey Mark,
4316,GN15 CXO,140,15,EURO VI,20 Jan 23:27,Wright StreetLite DF,Arriva Journey Mark,
4317,GN15 CXP,182,15,EURO VI,21 Jan 8:40,Wright StreetLite DF,Arriva Journey Mark,
4318,GN15 CXR,132,15,EURO VI,20 Jan 18:45,Wright StreetLite DF,Arriva Journey Mark,
4319,GN15 CXS,116,15,EURO VI,21 Jan 14:21,Wright StreetLite DF,Arriva Journey Mark,
4450,MX61 AYJ,7,61,EURO V,15:50,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
4452,MX61 AYL,71,61,EURO V,21 Jan 17:43,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
4455,MX61 AXS,85,61,EURO V,21 Jan 18:47,VDL DB300 Wright Gemini 2,Arriva Journey Mark,
