,LineRef,OriginName,DestinationName,OriginAimedDepartureTime,VehicleRef,VehicleLocation.Longitude,VehicleLocation.Latitude
7337,71,Lunsford_Park_Tesco,Chequers_Bus_Station,2022-10-12T14:29:00+00:00,6148,0.48506,51.291956
7338,72,Asda,Chequers_Bus_Station,2022-10-12T14:28:00+00:00,6438,0.402773,51.288091
7339,71,Railway_Station,Chequers_Bus_Station,2022-10-12T14:30:00+00:00,6447,0.435911,51.319135
7341,177,King_Street,Village_Centre,2022-10-12T14:48:00+00:00,4291,0.551138,51.386531
7342,155,Waterfront_Bus_Station,Village_Surgery,2022-10-12T14:33:00+00:00,4272,0.49283,51.375748
7343,132,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:41:00+00:00,4293,0.572458,51.340298
7344,177,King_Street,Village_Centre,2022-10-12T14:24:00+00:00,4312,0.52504,51.385531
7345,4,Pennine_Way,Chequers_Bus_Station,2022-10-12T14:30:00+00:00,6522,0.533568,51.273638
7346,145,Waterfront_Bus_Station,The_George,2022-10-12T14:40:00+00:00,4006,0.511745,51.383993
7347,1,The_Strand,Chatham_Railway_Station,2022-10-12T14:46:00+00:00,1653,0.560364,51.393703
7348,145,The_George,Waterfront_Bus_Station,2022-10-12T14:23:00+00:00,1641,0.507876,51.381886
7349,3,Chequers_Bus_Station,Maidstone_Hospital,2022-10-12T14:26:00+00:00,4014,0.482535,51.27204
7350,176,Plantation_Road,Village_Centre,2022-10-12T14:45:00+00:00,3988,0.559876,51.393935
7351,347,Coldharbour_Lane_East,Bus_Hub,,1636,0.736285,51.348451
7352,191,Marina,Waterfront_Bus_Station,2022-10-12T14:19:00+00:00,6430,0.495941,51.395518
7356,116,Waterfront_Bus_Station,Post_Office,2022-10-12T14:22:00+00:00,4059,0.544181,51.378985
7358,190,Gravesend_Railway_Station,Waterfront_Bus_Station,2022-10-12T14:45:00+00:00,1654,0.374661,51.44136
7359,164,Waterfront_Bus_Station,Chatham_Grove,2022-10-12T14:50:00+00:00,4005,0.524486,51.384773
7360,7,Railway_Station,Chequers_Bus_Station,2022-10-12T13:40:00+00:00,4055,0.488646,51.268016
7361,82,Parade,Royal_Star_Arcade,2022-10-12T14:48:00+00:00,4075,0.556469,51.235896
7362,116,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:21:00+00:00,4221,0.573539,51.370046
7363,190,Waterfront_Bus_Station,Gravesend_Railway_Station,2022-10-12T14:12:00+00:00,4267,0.383541,51.439105
7364,82,Royal_Star_Arcade,Parade,2022-10-12T14:34:00+00:00,6146,0.530096,51.260838
7365,82,Parade,Royal_Star_Arcade,2022-10-12T14:24:00+00:00,6147,0.521568,51.273218
7366,176,Village_Centre,Plantation_Road,2022-10-12T13:52:00+00:00,6446,0.561123,51.393015
7369,140,Bligh_Way_Shops,Waterfront_Bus_Station,2022-10-12T14:27:00+00:00,4309,0.521274,51.38195
7371,71,Chequers_Bus_Station,Lunsford_Park_Tesco,2022-10-12T14:30:00+00:00,4074,0.50825,51.276996
7372,176,Village_Centre,Plantation_Road,2022-10-12T14:35:00+00:00,4316,0.519358,51.366691
7373,132,Hempstead_Valley_Shopping_Centre,Waterfront_Bus_Station,2022-10-12T14:30:00+00:00,6421,0.606568,51.363811
7374,85,Chequers_Bus_Station,Freeman_Way,2022-10-12T14:43:00+00:00,4066,0.529528,51.268976
7379,85,Freeman_Way,Chequers_Bus_Station,2022-10-12T14:53:00+00:00,4120,0.55501,51.253353
7380,693,Breton_Road,Linwood_Avenue,2022-10-12T15:28:00+00:00,6429,0.499486,51.370415
7383,190,Gravesend_Railway_Station,Waterfront_Bus_Station,2022-10-12T14:20:00+00:00,3984,0.49864,51.393786
7384,334,Bus_Hub,Chequers_Bus_Station,2022-10-12T14:44:00+00:00,4065,0.734281,51.341906
7385,182,Waterfront_Bus_Station,Beechings_Green,2022-10-12T14:19:00+00:00,4315,0.550504,51.38401
7387,182,Beechings_Green,Waterfront_Bus_Station,2022-10-12T14:28:00+00:00,4273,0.543519,51.388613
7388,10,Hundred_of_Hoo_Academy_Grounds,Holiday_Village,2022-10-12T14:10:00+00:00,4317,0.51718,51.412765
7389,6,Hundred_of_Hoo_Academy_Grounds,Lapwing_Road,2022-10-12T14:10:00+00:00,6528,0.716656,51.453946
7390,101,Duncan_Road,The_Cannon,2022-10-12T14:17:00+00:00,4311,0.524408,51.3851
7391,101,Pudding_Lane,Duncan_Road,2022-10-12T14:00:00+00:00,6478,0.550561,51.384296
7392,82,Royal_Star_Arcade,Parade,2022-10-12T14:46:00+00:00,4048,0.526836,51.272991
7393,334,Tesco,Chequers_Bus_Station,2022-10-12T14:50:00+00:00,4013,0.7584,51.442348
