Last tracked,,Type,Livery,Name,Previous reg,Special features,,
6406,GN04 UDV,85,9:17,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6408,GN04 UDX,5,1 Dec 14:47,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6410,GN04 UDZ,692,15:28,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6411,GN04 UEA,660,7:28,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6412,GN04 UEB,116,13:51,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6419,GN04 UEJ,670,15:25,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6420,GN04 UEK,658,14:52,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6421,GN04 UEL,10,15:05,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6422,GN04 UEM,85,10:53,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6428,GN04 UEV,653,15:25,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6429,GN04 UEW,145,3 Dec 8:20,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6430,GN04 UEX,9,15:05,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6431,GN04 UEY,132,15:26,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6432,GN04 UEZ,775,15:45,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6437,GN04 UFE,658,22 Nov 15:30,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6438,GN04 UFG,9,15:45,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6439,GN04 UFH,641,15:08,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6440,GN04 UFJ,660,15:25,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6441,GN04 UFK,191,15:25,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6442,GN04 UFL,668,15:35,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6444,GN04 UFP,6,14:30,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6445,GN04 UFR,402W,15:55,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6446,GN04 UFS,191,12:19,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6447,GN04 UFT,9,15:55,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6448,GN04 UFU,85,15:44,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6449,GN04 UFV,5,10:46,Volvo B7TL Alexander ALX400,Arriva Interurban,,,
6471,SN58 EOA,659,14:51,ADL Enviro400,Arriva Journey Mark,,,
6472,SN58 EOB,689,15:07,ADL Enviro400,Arriva Journey Mark,,,
6473,YY14 WFV,191,15:02,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power"
6474,YY14 WFW,101,15:17,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6475,YY14 WFX,132,15:22,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6476,YY14 WFZ,101,15:52,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6477,YY14 WGA,101,15:13,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6478,YY14 WGC,101,15:29,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6479,SN15 LNJ,689,14:35,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6480,SN15 LNK,101,15:26,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6481,SN15 LNM,101,15:53,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power"
6482,SN15 LNO,177,4 Aug 22:10,ADL Enviro400,Arriva Journey Mark,,,"power sockets, USB power"
6483,SN15 LNP,101,16:05,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6484,SN15 LNR,101,14:48,ADL Enviro400,Arriva Journey Mark,,,"USB power, power sockets"
6493,YY16 YLD,12,15:47,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power
6500,SN66 WHT,7,15:43,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power
6501,SN66 WHU,6X,15:30,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power
6516,SN66 WJO,570,15:42,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power
6520,YX17 NEN,8,14:52,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power
6521,YX17 NEO,72,15:34,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power
6522,YX17 NEU,642,14:53,ADL Enviro400 MMC,Arriva Journey Mark,,,USB power
6528,YX17 NFF,101,28 Nov 10:02,ADL Enviro400 MMC,Arriva Sapphire,,,USB power
